Type_of_Security,spread,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
15yr TBA Eligible,-0.03574050632911385,0.5289526945804583,0.4807609135846991,0.60775832795813,7465
15yr TBA Eligible,0.016069620253164718,0.5439722378380346,0.498274004715038,0.6257683001183345,7465
15yr TBA Eligible,0.06787974683544284,0.558437478204705,0.5091730428470886,0.6422336623925218,7465
15yr TBA Eligible,0.11968987341772142,0.5724058756368102,0.5166493607461797,0.6572438766876632,7465
15yr TBA Eligible,0.17149999999999999,0.5851820584853318,0.5277907067825383,0.6716306058806798,7465
20yr TBA Eligible,-3.8950000000000005,0.9066017582225557,0.3090459295131853,1.358125916788222,4732
20yr TBA Eligible,-3.8496265822784816,1.6855202174740969,0.42631091923261977,2.3714113250328794,4732
20yr TBA Eligible,-3.8042531645569624,2.008690110377154,0.3755509615418595,3.435767060378614,4732
20yr TBA Eligible,-3.7588797468354436,1.694171705846261,0.3044940654889916,3.252942826607097,4732
20yr TBA Eligible,-3.7135063291139243,1.0721054847491427,0.2641258810617275,2.0088694242144878,4732
20yr TBA Eligible,-3.6681329113924055,0.5941435533745655,0.21564487599018412,0.9802251926161576,4732
20yr TBA Eligible,-3.6227594936708867,0.333702553113107,0.14211588975608924,0.48988965979556154,4732
20yr TBA Eligible,-3.5773860759493674,0.1936973421880721,0.10080648622767807,0.24597749350292464,4732
20yr TBA Eligible,-3.5320126582278486,0.11668465091885172,0.06770475664594766,0.14222641719263684,4732
20yr TBA Eligible,-3.4866392405063293,0.07163579973141665,0.030478612189721588,0.1002524255588555,4732
20yr TBA Eligible,-3.4412658227848105,0.04519719079394175,0.015076360221022433,0.06449938263304311,4732
20yr TBA Eligible,-3.3958924050632913,0.029526963429647095,0.006830448625971819,0.04436701178129887,4732
20yr TBA Eligible,-3.3505189873417724,0.020195853740880117,0.0028448757121490864,0.03130102565336301,4732
20yr TBA Eligible,-3.3051455696202536,0.014275026567217654,0.001239649865580894,0.022180750425682128,4732
20yr TBA Eligible,-3.2597721518987344,0.010369284397027194,0.0011999934000583856,0.01594259801991349,4732
20yr TBA Eligible,-3.2143987341772156,0.007720741054688705,0.0011999934000583856,0.011569199699956734,4732
20yr TBA Eligible,-3.1690253164556963,0.005888766197428271,0.0011999934000583856,0.008752846292503502,4732
20yr TBA Eligible,-3.1236518987341775,0.004596006483757074,0.0011999934000583856,0.006766358992205124,4732
20yr TBA Eligible,-3.078278481012658,0.0036715242615154207,0.0011999934000583856,0.0053607838605640445,4732
