Type_of_Security,spread,predicted_cpr_mean,dCPR_dspread
30yr TBA Eligible,-3.254867088607595,0.23093834314615122,-0.20993873870961965
30yr TBA Eligible,-3.189582278481013,0.21813780713947134,-0.18346334472216608
30yr TBA Eligible,-3.1242974683544307,0.20698360389540268,-0.16011784682388908
30yr TBA Eligible,-3.0590126582278483,0.19723128068392176,-0.1388524763609904
30yr TBA Eligible,-2.993727848101266,0.18885368878573663,-0.11936603352574848
30yr TBA Eligible,-2.9284430379746835,0.18164570301533825,-0.10209196477030957
30yr TBA Eligible,-2.8631582278481016,0.17552357971477783,-0.08683359731723073
30yr TBA Eligible,-2.797873417721519,0.17030787318841129,-0.07337363390744023
30yr TBA Eligible,-2.732588607594937,0.16594321219888863,-0.06072254388096043
30yr TBA Eligible,-2.667303797468355,0.16237935369306813,-0.04909449501571639
30yr TBA Eligible,-2.602018987341772,0.1595329626281657,-0.038459338591813275
30yr TBA Eligible,-2.53673417721519,0.15735773245794718,-0.028446484433099384
30yr TBA Eligible,-2.4714493670886077,0.15581871595819838,-0.018881903391618327
30yr TBA Eligible,-2.4061645569620254,0.15489232950244664,-0.01031960944861754
30yr TBA Eligible,-2.3408797468354434,0.1544712884713314,-0.002377100712485092
30yr TBA Eligible,-2.2755949367088606,0.15458195236511393,0.005676102734657906
30yr TBA Eligible,-2.2103101265822787,0.15521241504991362,0.013139253482956414
30yr TBA Eligible,-2.1450253164556963,0.15629753970279364,0.02026933222471472
30yr TBA Eligible,-2.079740506329114,0.15785897406127986,0.02756800071055787
30yr TBA Eligible,-2.014455696202532,0.1598970830867101,0.03480529316579628
30yr TBA Eligible,-1.9491708860759496,0.162403487972738,0.04186906474352203
30yr TBA Eligible,-1.8838860759493672,0.16536391097062694,0.0489310326217125
30yr TBA Eligible,-1.8186012658227848,0.16879239432075022,0.05594240919577098
30yr TBA Eligible,-1.7533164556962024,0.1726682900953659,0.06312096988686156
30yr TBA Eligible,-1.6880316455696205,0.1770340753888891,0.07104372389508806
30yr TBA Eligible,-1.622746835443038,0.18194444214571825,0.07942602336831261
30yr TBA Eligible,-1.5574620253164557,0.18740470109830867,0.08806044627980758
30yr TBA Eligible,-1.4921772151898733,0.19344246117579694,0.09629056284678206
30yr TBA Eligible,-1.4268924050632914,0.19997732332317641,0.10363512836951472
30yr TBA Eligible,-1.361607594936709,0.20697406053189243,0.11036522264110848
30yr TBA Eligible,-1.2963227848101266,0.21438766853258193,0.11623703983938305
30yr TBA Eligible,-1.2310379746835443,0.22215108668307265,0.122294060643654
30yr TBA Eligible,-1.1657531645569619,0.2303555575900413,0.12986874077258226
30yr TBA Eligible,-1.10046835443038,0.2391079988485053,0.13855689517531555
30yr TBA Eligible,-1.0351835443037976,0.24844687877653981,0.1461182621885806
30yr TBA Eligible,-0.9698987341772152,0.25818660485452066,0.15139800212989662
30yr TBA Eligible,-0.9046139240506328,0.26821485842172826,0.15600515304416973
30yr TBA Eligible,-0.8393291139240504,0.27855613844503474,0.1661791156529686
30yr TBA Eligible,-0.7740443037974685,0.28991280244654294,0.18259016938836847
30yr TBA Eligible,-0.7087594936708861,0.30239686752403505,0.2033012993862342
30yr TBA Eligible,-0.6434746835443037,0.3164577759043785,0.22292428603806114
30yr TBA Eligible,-0.5781898734177213,0.3315040068972326,0.23568990115863686
30yr TBA Eligible,-0.5129050632911394,0.34723171679616754,0.24560366271747558
30yr TBA Eligible,-0.447620253164557,0.36357238387103974,0.2546132599132007
30yr TBA Eligible,-0.3823354430379746,0.3804764734544545,0.26935268579598004
30yr TBA Eligible,-0.31705063291139224,0.39874166176959086,0.28969607178598666
30yr TBA Eligible,-0.25176582278480986,0.4183019795363843,0.31734207729459163
30yr TBA Eligible,-0.18648101265822792,0.4401768962922959,0.3816978123719008
30yr TBA Eligible,-0.12119620253164554,0.4681401179492471,0.46177026524134
30yr TBA Eligible,-0.055911392405063154,0.5004700644690608,0.5272081557664619
30yr TBA Eligible,0.009373417721519228,0.5369774866420454,0.5868769231501711
30yr TBA Eligible,0.07465822784810117,0.577098361460124,0.6310688983271948
