month,cf_down,cf_base,cf_up
101,0.4874823729650127,0.27174752306250455,0.07908948922629157
102,0.4920834586542145,0.2727799689392643,0.08137310864702763
103,0.4875505195984682,0.27348621979361554,0.08559290202399071
104,0.4752808753444013,0.2602776154508106,0.0777651148831863
105,0.47332021538595453,0.2575746444851012,0.07672846949733128
106,0.48844147679341027,0.2657437807481396,0.07175111917859549
107,0.48673759495308216,0.2630669517326556,0.07201913707077919
108,0.4778330635544798,0.25943654618058376,0.07236200518469417
109,0.4594923654477422,0.2436798240636454,0.06519847469322702
110,0.44983802482899593,0.23239573396368732,0.06106677940074954
111,0.4361186218948046,0.22451550653231436,0.05940592844214587
112,0.43353856465854457,0.22236902090310437,0.06013963566102633
113,0.4410440565515164,0.2217582800119872,0.058493068277558936
114,0.4436320907158511,0.22322314280507877,0.05965123657760099
115,0.44693208805153534,0.22088552371199754,0.0594766132225732
116,0.4374807602670997,0.20758159891539282,0.05594598323078843
117,0.4358827912264899,0.21299902164483225,0.05792007629025546
118,0.43976847208617964,0.20904087214176145,0.05394644391729621
119,0.44643799225350855,0.212536207695273,0.05504822744480929
120,0.43989368328163114,0.22052144698104545,0.056706158753054105
121,0.45410957204149516,0.23153507462087144,0.05830052079977945
122,0.4362467570701439,0.22135848337845312,0.05414093144749671
123,0.41897341669887833,0.21517077199440077,0.05091602789796396
124,0.4036659217910608,0.20321262879591198,0.046850215568565105
125,0.4090329926379618,0.2046563018265981,0.04904413191267557
126,0.4064860347221336,0.20636289201843436,0.05011635958491176
127,0.41926598052555913,0.22066368379182133,0.05460919181247493
128,0.4160332483948569,0.20603741791240207,0.04725364145754728
129,0.39585915883626765,0.1911159546843294,0.043938386083252005
130,0.3829880577851696,0.17967376566398088,0.040582469423311326
131,0.38432873554646335,0.18719870757597984,0.04251997389141265
132,0.367252898555475,0.18086297612915264,0.04079340815529686
133,0.3619585093700708,0.17376732756422547,0.03717706611197723
134,0.3584185119250029,0.17387738294404487,0.03946485001800745
135,0.3582556892750145,0.17676579011512442,0.04109410620091944
136,0.35914418819631,0.17949844829444886,0.04186192927158931
137,0.3588920943184899,0.1790147555896004,0.040963686860719516
138,0.3682678343483465,0.18669864310423004,0.04074782934454609
139,0.35134284263449433,0.1763967195535982,0.039334267875748244
140,0.3498673693188904,0.17807994769102198,0.040951282951414356
141,0.3500908196673201,0.1720148981965557,0.038270348816828795
142,0.34092410700966064,0.16588447883923674,0.03618812981794186
143,0.3438824238794953,0.16788075863074517,0.03658488613477438
144,0.34279897156294303,0.16727677495381135,0.037166981843902575
145,0.3384132856550291,0.15856595207942023,0.0325669364354654
146,0.33499974279946326,0.1563720312684775,0.034151284242157035
147,0.33060099898356354,0.15190519802519956,0.0339292791937118
148,0.3399810267496641,0.15508082127805192,0.03400129695525322
149,0.33559295968558855,0.14908916128708707,0.029331877227560862
150,0.33137400066529554,0.14885818071267976,0.029146446249720858
151,0.3316775070335445,0.15023370703742628,0.02939165225503201
152,0.3293705149746746,0.1455101555700156,0.029243713417528395
153,0.3181558718931177,0.13663451370321986,0.028787961760259904
154,0.3196544768228337,0.133693721594648,0.02728275538200432
155,0.31355703284280917,0.13086396567595882,0.02924066262672748
156,0.31153117075659814,0.1332366019788267,0.03025687913691137
157,0.30497423946263014,0.13001872593985914,0.030452443618509607
158,0.30598891655876664,0.12813035996717587,0.028769793448613187
159,0.2961686090080618,0.12072225555741063,0.02548323017592861
160,0.3066789451825086,0.12711888461101928,0.027935490896549932
161,0.3081842302600703,0.13021622259399065,0.03008772563946934
162,0.3025224268575643,0.12273889449013159,0.02708648707955331
163,0.2958084725926197,0.11571800319713364,0.02321483716920446
164,0.28624993203893323,0.11038097463035407,0.02193457100915076
165,0.2767521280804257,0.1110989471095426,0.023064952072656523
166,0.2766537216995913,0.11233127167217839,0.021792669499773314
167,0.2843702593141607,0.12009883686715339,0.024813715817175796
168,0.2755781087832223,0.11389459436433338,0.02206146359704375
169,0.27002512626541647,0.11097310733498539,0.022059122955802448
170,0.28324673807685474,0.11652218230158219,0.02181854558223791
171,0.28046732013083153,0.1093870949508779,0.018683171513190062
172,0.2747693385299832,0.10551006507614862,0.01917951089238088
173,0.2777167033201337,0.10636490941151201,0.01825065994151083
174,0.2735977880288321,0.10201063134510303,0.016782714499221627
175,0.2748910972732967,0.10390371826650256,0.017546435969082955
176,0.26528803540452034,0.09757902427721236,0.017146237809458398
177,0.26601282726929903,0.09810246141472424,0.01732104457871025
178,0.264913700428637,0.0977766105111754,0.016957310979217082
179,0.2526131392744745,0.09163523117693075,0.01567333515846853
180,0.24981379743174667,0.0913249619480972,0.01584873067199764
181,0.2454533973760432,0.0894780787796779,0.015342838585091757
182,0.24152392318376387,0.08578003045062804,0.013371634815266162
183,0.2400756277175096,0.08584306022787921,0.013932265069433373
184,0.24337251671088486,0.08747212947820493,0.014166229217475158
185,0.23894551622918433,0.08564292409754062,0.014340126582887504
186,0.23429474760866859,0.0865091346275834,0.014892909634831409
187,0.23395964086446006,0.08680661775708277,0.014246420459876648
188,0.2299889682047138,0.0816650122541125,0.013095690788499866
