month,beg_balance,interest,scheduled_principal,prepay_principal,total_principal,total_cashflow,end_balance
33,0.8935225608704253,0.0037230106702934385,0.003152722033169155,0.000604565277689041,0.003757287310858196,0.007480297981151634,0.889765273559567
34,0.889765273559567,0.003707355306498196,0.0031683773969643976,0.0005772989251895274,0.003745676322153925,0.0074530316286521205,0.8860195972374131
35,0.8860195972374131,0.0036917483218225546,0.003183984381640039,0.0007198134677710811,0.00390379784941112,0.007595546171233675,0.882115799388002
36,0.882115799388002,0.003675482497450008,0.0032002502060125854,0.0007095481679522934,0.003909798373964879,0.007585280871414887,0.8782060010140371
37,0.8782060010140371,0.0036591916708918213,0.0032165410325707723,0.0006878024171922139,0.003904343449762986,0.007563535120654807,0.8743016575642741
38,0.8743016575642741,0.0036429235731844753,0.0032328091302781183,0.0006753092371853134,0.003908118367463432,0.0075510419406479064,0.8703935391968107
39,0.8703935391968107,0.003626639746653378,0.0032490929568092155,0.0006305169958010686,0.003879609952610284,0.007506249699263662,0.8665139292442005
40,0.8665139292442005,0.0036104747051841687,0.003265257998278425,0.0005617730470846681,0.003827031045363093,0.007437505750547262,0.8626868981988374
41,0.8626868981988374,0.0035945287424951557,0.003281203960967438,0.0005998777980332371,0.003881081759000675,0.007475610501495831,0.8588058164398367
42,0.8588058164398367,0.0035783575684993196,0.003297375134963274,0.0005333822610877928,0.0038307573960510667,0.007409114964550386,0.8549750590437856
43,0.8549750590437856,0.0035623960793491065,0.003313336624113487,0.000532247842736272,0.003845584466849759,0.007407980546198865,0.8511294745769358
44,0.8511294745769358,0.0035463728107372324,0.003329359892725361,0.0006752075866562993,0.004004567479381661,0.007550940290118893,0.8471249070975541
45,0.8471249070975541,0.003529687112906475,0.0033460455905561185,0.0007238078083854858,0.004069853398941605,0.00759954051184808,0.8430550536986124
46,0.8430550536986124,0.003512729390410885,0.0033630033130517085,0.0008116786309424984,0.004174681943994207,0.007687411334405092,0.8388803717546183
47,0.8388803717546183,0.0034953348823109093,0.0033803978211516842,0.0008512376964828546,0.004231635517634539,0.007726970399945448,0.8346487362369838
