Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
20yr TBA Eligible,-2.1755472573839634,M1,loan_age_slice,median_loan_age,0.11260332988854777,0.10670905060334857,0.11639511215527643,10423
20yr TBA Eligible,-2.105194852320672,M1,loan_age_slice,median_loan_age,0.11382665067800153,0.10783932709677035,0.11787961928805268,10423
20yr TBA Eligible,-2.0348424472573807,M1,loan_age_slice,median_loan_age,0.11526349063733513,0.10918015160440997,0.11942267014276586,10423
20yr TBA Eligible,-1.9644900421940894,M1,loan_age_slice,median_loan_age,0.11691944873556735,0.11075885156514031,0.12110868051289359,10423
20yr TBA Eligible,-1.8941376371307979,M1,loan_age_slice,median_loan_age,0.11880148309680218,0.11254690787251276,0.12292197374790259,10423
20yr TBA Eligible,-1.8237852320675065,M1,loan_age_slice,median_loan_age,0.12091791166222536,0.11456364439090816,0.12486478649437194,10423
20yr TBA Eligible,-1.7534328270042152,M1,loan_age_slice,median_loan_age,0.12327842723946113,0.11684010883833418,0.12698410720811681,10423
20yr TBA Eligible,-1.6830804219409239,M1,loan_age_slice,median_loan_age,0.1258941261101956,0.11932166724065718,0.12943673217418183,10423
20yr TBA Eligible,-1.6127280168776326,M1,loan_age_slice,median_loan_age,0.1287775496239924,0.12207286702093922,0.1324565915545306,10423
20yr TBA Eligible,-1.5423756118143412,M1,loan_age_slice,median_loan_age,0.1319427384391043,0.12490954763194617,0.13575559237394286,10423
20yr TBA Eligible,-1.4720232067510497,M1,loan_age_slice,median_loan_age,0.1354052992883953,0.12797811968568995,0.13911434188846883,10423
20yr TBA Eligible,-1.4016708016877584,M1,loan_age_slice,median_loan_age,0.13918248435851396,0.13124505172863454,0.14346277177433864,10423
20yr TBA Eligible,-1.331318396624467,M1,loan_age_slice,median_loan_age,0.14329328358057175,0.13472738342185098,0.1482871325405699,10423
20yr TBA Eligible,-1.2609659915611757,M1,loan_age_slice,median_loan_age,0.14775853034932476,0.13845210025270616,0.15356008067218818,10423
20yr TBA Eligible,-1.1906135864978844,M1,loan_age_slice,median_loan_age,0.15260102142262838,0.14243917457074096,0.15928039805781502,10423
20yr TBA Eligible,-1.1202611814345929,M1,loan_age_slice,median_loan_age,0.1578456520134946,0.14671681750423327,0.1654714675906499,10423
20yr TBA Eligible,-1.0499087763713018,M1,loan_age_slice,median_loan_age,0.16351956738240506,0.15166326251305762,0.17215844676076175,10423
20yr TBA Eligible,-0.9795563713080102,M1,loan_age_slice,median_loan_age,0.16965233257991988,0.1573740289665837,0.17936827195962346,10423
20yr TBA Eligible,-0.9092039662447187,M1,loan_age_slice,median_loan_age,0.17627612239119192,0.1635523503196734,0.18727189258131993,10423
20yr TBA Eligible,-0.8388515611814276,M1,loan_age_slice,median_loan_age,0.1834259340107976,0.17002693683441095,0.19547308059869595,10423
20yr TBA Eligible,-0.768499156118136,M1,loan_age_slice,median_loan_age,0.19113982554563066,0.17676175949649098,0.2036712682198072,10423
20yr TBA Eligible,-0.6981467510548449,M1,loan_age_slice,median_loan_age,0.19945918412750946,0.18391849959557005,0.2128434781785593,10423
20yr TBA Eligible,-0.6277943459915534,M1,loan_age_slice,median_loan_age,0.20842902824007062,0.19170055252816232,0.2226731278120675,10423
20yr TBA Eligible,-0.5574419409282618,M1,loan_age_slice,median_loan_age,0.2180983498575164,0.20053216752712322,0.23308829910516082,10423
20yr TBA Eligible,-0.4870895358649707,M1,loan_age_slice,median_loan_age,0.22852050319119788,0.20974508306534356,0.24439933412399029,10423
20yr TBA Eligible,-0.4167371308016792,M1,loan_age_slice,median_loan_age,0.2397536482873502,0.21968097911545525,0.2567919867734969,10423
20yr TBA Eligible,-0.3463847257383881,M1,loan_age_slice,median_loan_age,0.25186125946741744,0.23065970674948644,0.2698450548381248,10423
20yr TBA Eligible,-0.27603232067509653,M1,loan_age_slice,median_loan_age,0.2649127107133976,0.24240415652540537,0.28398323766846145,10423
20yr TBA Eligible,-0.205679915611805,M1,loan_age_slice,median_loan_age,0.27898395264989045,0.25534327401829926,0.29902028002329883,10423
20yr TBA Eligible,-0.13532751054851389,M1,loan_age_slice,median_loan_age,0.29415829885341466,0.2695487406429886,0.3149950670893187,10423
20yr TBA Eligible,-0.06497510548522234,M1,loan_age_slice,median_loan_age,0.3105273429379394,0.2849733084645478,0.33196761175772194,10423
20yr TBA Eligible,0.005377299578068762,M1,loan_age_slice,median_loan_age,0.32819203235952377,0.3015429958418414,0.3508790995023603,10423
20yr TBA Eligible,0.07572970464136031,M1,loan_age_slice,median_loan_age,0.3472639303161354,0.3195921554136616,0.3709400291594278,10423
20yr TBA Eligible,0.1460821097046514,M1,loan_age_slice,median_loan_age,0.3678667036952536,0.33992054170701724,0.3927778109686586,10423
20yr TBA Eligible,0.21643451476794295,M1,loan_age_slice,median_loan_age,0.3901378829905484,0.3616273588174068,0.4158261392468665,10423
20yr TBA Eligible,0.2867869198312345,M1,loan_age_slice,median_loan_age,0.41423094977975794,0.38429501612088357,0.43906391932564404,10423
20yr TBA Eligible,0.3571393248945256,M1,loan_age_slice,median_loan_age,0.44031020714282026,0.40853908004218065,0.46291539686429406,10423
20yr TBA Eligible,0.42749172995781715,M1,loan_age_slice,median_loan_age,0.468484598904344,0.43784702451603597,0.4883674127016069,10423
20yr TBA Eligible,0.49784413502110825,M1,loan_age_slice,median_loan_age,0.49881957103092395,0.469731196947043,0.5151046823306693,10423
20yr TBA Eligible,0.5681965400843998,M1,loan_age_slice,median_loan_age,0.5313637880601475,0.5031561407527918,0.5469730351466029,10423
20yr TBA Eligible,0.6385489451476913,M1,loan_age_slice,median_loan_age,0.5661435020003537,0.536394776618665,0.5847854416896614,10423
20yr TBA Eligible,0.7089013502109824,M1,loan_age_slice,median_loan_age,0.6031558766727932,0.5721378257900311,0.629162097868674,10423
20yr TBA Eligible,0.779253755274274,M1,loan_age_slice,median_loan_age,0.642361672003952,0.6084040905013799,0.6707005291098578,10423
20yr TBA Eligible,0.8496061603375651,M1,loan_age_slice,median_loan_age,0.6836774372614813,0.6453900279405067,0.7166071471076951,10423
20yr TBA Eligible,0.9199585654008571,M1,loan_age_slice,median_loan_age,0.7269674458171834,0.6819561691446707,0.7623032475076119,10423
20yr TBA Eligible,0.9903109704641482,M1,loan_age_slice,median_loan_age,0.7720356986054026,0.7209186908774146,0.8131206972496807,10423
20yr TBA Eligible,1.0606633755274393,M1,loan_age_slice,median_loan_age,0.8186184246053909,0.7577104462726969,0.870178426535706,10423
20yr TBA Eligible,1.1310157805907304,M1,loan_age_slice,median_loan_age,0.8663776074773728,0.7964231595250115,0.9299214068459682,10423
20yr TBA Eligible,1.2013681856540224,M1,loan_age_slice,median_loan_age,0.9148961583214326,0.8349998050517282,0.9872982356640247,10423
20yr TBA Eligible,1.2717205907173135,M1,loan_age_slice,median_loan_age,0.9636750666560401,0.873811846810657,1.0451211171625174,10423
20yr TBA Eligible,1.3420729957806046,M1,loan_age_slice,median_loan_age,1.0121304791028052,0.9125296687731321,1.105302149593712,10423
20yr TBA Eligible,1.4124254008438966,M1,loan_age_slice,median_loan_age,1.0596017683462626,0.9494530806760992,1.161061496532767,10423
20yr TBA Eligible,1.4827778059071877,M1,loan_age_slice,median_loan_age,1.1053624621055969,0.9862455315312713,1.21713748097807,10423
20yr TBA Eligible,1.5531302109704788,M1,loan_age_slice,median_loan_age,1.1486305347805934,1.0210729592019518,1.2695545462377722,10423
20yr TBA Eligible,1.6234826160337699,M1,loan_age_slice,median_loan_age,1.1885823965530034,1.055398065637081,1.3171622868760058,10423
20yr TBA Eligible,1.6938350210970619,M1,loan_age_slice,median_loan_age,1.2243706852163243,1.0858984862578747,1.3595676850620242,10423
