Type_of_Security,spread,predicted_cpr_mean,dCPR_dspread
20yr TBA Eligible,-2.52730928270042,0.11293271015574062,-0.0030209895012471844
20yr TBA Eligible,-2.456956877637129,0.1128796547454068,0.0012922002977144853
20yr TBA Eligible,-2.3866044725738376,0.11311452895327605,0.0052243609751240205
20yr TBA Eligible,-2.316252067510546,0.11361474746444436,0.008885606106312838
20yr TBA Eligible,-2.245899662447255,0.11436477647332441,0.012368399155230247
20yr TBA Eligible,-2.1755472573839634,0.11535504071915081,0.01575128901766021
20yr TBA Eligible,-2.105194852320672,0.11658105860380323,0.019101784586320836
20yr TBA Eligible,-2.0348424472573807,0.11804275369244797,0.022478585060462297
20yr TBA Eligible,-1.9644900421940894,0.1197439036466498,0.025933321803628617
20yr TBA Eligible,-1.8941376371307979,0.1216916968127791,0.029511923854785183
20yr TBA Eligible,-1.8237852320675065,0.12389637328910752,0.0332556877143525
20yr TBA Eligible,-1.7534328270042152,0.126370932038256,0.0372021093058158
20yr TBA Eligible,-1.6830804219409239,0.1291308890152907,0.04138551967386739
20yr TBA Eligible,-1.6127280168776326,0.13219407372595746,0.04583755437967385
20yr TBA Eligible,-1.5423756118143412,0.13558045340094962,0.05058747857133472
20yr TBA Eligible,-1.4720232067510497,0.13931197529311967,0.05566238459288708
20yr TBA Eligible,-1.4016708016877584,0.14341241865628462,0.061087276273489866
20yr TBA Eligible,-1.331318396624467,0.14790724890233115,0.0668850534278107
20yr TBA Eligible,-1.2609659915611757,0.15282346739915106,0.07307641146283728
20yr TBA Eligible,-1.1906135864978844,0.1581894515019417,0.07967967429293643
20yr TBA Eligible,-1.1202611814345929,0.16403478084148665,0.0867105840421909
20yr TBA Eligible,-1.0499087763713018,0.1703900477655632,0.0941820783240428
20yr TBA Eligible,-0.9795563713080102,0.17728665228939802,0.10210409528765751
20yr TBA Eligible,-0.9092039662447187,0.1847565851061596,0.11048345813111782
20yr TBA Eligible,-0.8388515611814276,0.1928322062878652,0.11932390435425777
20yr TBA Eligible,-0.768499156118136,0.20154603241188795,0.12862634051038868
20yr TBA Eligible,-0.6981467510548449,0.2109305511066566,0.13838942035474489
20yr TBA Eligible,-0.6277943459915534,0.22101808952643018,0.1486105626953873
20yr TBA Eligible,-0.5574419409282618,0.23184077211351575,0.15928754444811766
20yr TBA Eligible,-0.4870895358649707,0.24343061322353216,0.17042082386500113
20yr TBA Eligible,-0.4167371308016792,0.25581980177705654,0.18201676820407875
20yr TBA Eligible,-0.3463847257383881,0.26904124803354124,0.1940919790301141
20yr TBA Eligible,-0.27603232067509653,0.2831294768335814,0.20667892717611291
20yr TBA Eligible,-0.205679915611805,0.2981219672390221,0.21983312926105647
20yr TBA Eligible,-0.13532751054851389,0.31406105554579083,0.23364212089992842
20yr TBA Eligible,-0.06497510548522234,0.33099653749781865,0.2482365124773369
20yr TBA Eligible,0.005377299578068762,0.3489891269003996,0.2638034580843671
20yr TBA Eligible,0.07572970464136031,0.3681149529783154,0.28060293655894153
20yr TBA Eligible,0.1460821097046514,0.388471309809887,0.29898734912424807
20yr TBA Eligible,0.21643451476794295,0.4101839111670931,0.31942509950140074
20yr TBA Eligible,0.2867869198312345,0.4334159577848965,0.3425033947214624
20yr TBA Eligible,0.3571393248945256,0.45837578628908643,0.3686622182946433
20yr TBA Eligible,0.42749172995781715,0.48528850521088907,0.398035736832286
20yr TBA Eligible,0.49784413502110825,0.5143813290636676,0.4306431772377315
20yr TBA Eligible,0.5681965400843998,0.5458820716964323,0.4663945293327463
20yr TBA Eligible,0.6385489451476913,0.5800052827575087,0.5049849789393042
20yr TBA Eligible,0.7089013502109824,0.6169358872748635,0.5458600437985446
20yr TBA Eligible,0.779253755274274,0.6568104165758711,0.5881825011061226
20yr TBA Eligible,0.8496061603375651,0.6996959944127789,0.6308038529206783
20yr TBA Eligible,0.9199585654008571,0.7455675529281923,0.6722455313774631
20yr TBA Eligible,0.9903109704641482,0.7942841742636888,0.7106965216984671
20yr TBA Eligible,1.0606633755274393,0.8455659720713975,0.7440352090138873
20yr TBA Eligible,1.1310157805907304,0.8989735070754797,0.7698836809193459
20yr TBA Eligible,1.2013681856540224,0.9538923092147089,0.7857409466127159
20yr TBA Eligible,1.2717205907173135,1.0095310377773037,0.7897014606983683
20yr TBA Eligible,1.3420729957806046,1.0650071032989574,0.7807735452882358
20yr TBA Eligible,1.4124254008438966,1.119389631218944,0.7581502287731858
20yr TBA Eligible,1.4827778059071877,1.1716824872859142,0.7210407387473721
20yr TBA Eligible,1.5531302109704788,1.2208435314579236,0.6689681330450963
20yr TBA Eligible,1.6234826160337699,1.2658095214267586,0.6018384393533758
20yr TBA Eligible,1.6938350210970619,1.3055250947940193,0.5199916820952541
20yr TBA Eligible,1.764187426160353,1.338974852323374,0.42423709144760124
20yr TBA Eligible,1.834539831223644,1.3652172941948075,0.3158689539785158
20yr TBA Eligible,1.904892236286936,1.3834191335178034,0.19666032253289067
20yr TBA Eligible,1.9752446413502271,1.3928883475362306,0.06883284378734977
20yr TBA Eligible,2.0455970464135182,1.393104245733375,-0.06499775677708719
20yr TBA Eligible,2.1159494514768102,1.3837428505102567,-0.2018995332181106
20yr TBA Eligible,2.1863018565401013,1.3646960102472754,-0.3387229667585103
20yr TBA Eligible,2.2566542616033924,1.336082899786988,-0.4722163017693095
20yr TBA Eligible,2.327006666666685,1.298252905168147,-0.5377214124351152
30yr TBA Eligible,-3.3229999999999995,0.15688333819440897,-0.03970177214038547
30yr TBA Eligible,-3.2278797468354425,0.15310689557733395,-0.03408863526896688
30yr TBA Eligible,-3.1327594936708856,0.15039829896077223,-0.023698056012968927
30yr TBA Eligible,-3.0376392405063286,0.14859856540241104,-0.014791278873311997
30yr TBA Eligible,-2.9425189873417716,0.14758439857865824,-0.007033841585458833
30yr TBA Eligible,-2.8473987341772147,0.14726044381775458,-0.00016239387631644675
