Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
15yr TBA Eligible,0.7634746835443043,M1,overall,all,0.634626633037946,0.5704688326864993,0.6887576686952945,46150
15yr TBA Eligible,0.8374303797468352,M1,overall,all,0.6597530397955094,0.5824094355603493,0.7290593894523356,46150
15yr TBA Eligible,0.911386075949367,M1,overall,all,0.6852192940382574,0.5905112901786413,0.7698176844792348,46150
15yr TBA Eligible,0.9853417721518989,M1,overall,all,0.710756703745909,0.5978523572860772,0.8114398274360335,46150
15yr TBA Eligible,1.0592974683544307,M1,overall,all,0.7360839190910461,0.6038309220353644,0.8527358219435732,46150
15yr TBA Eligible,1.1332531645569617,M1,overall,all,0.7610811955347058,0.6094607102031024,0.8949218098749823,46150
15yr TBA Eligible,1.2072088607594935,M1,overall,all,0.7856875510274721,0.6154340555789672,0.9349478383943177,46150
15yr TBA Eligible,1.2811645569620254,M1,overall,all,0.8098491926484557,0.6215675901961926,0.9753869735337317,46150
15yr TBA Eligible,1.3551202531645572,M1,overall,all,0.8335221446615733,0.6286383741239132,1.0123358325699994,46150
15yr TBA Eligible,1.429075949367089,M1,overall,all,0.8566750882849774,0.6366145471106033,1.049981831430713,46150
15yr TBA Eligible,1.50303164556962,M1,overall,all,0.8792923963596022,0.6447170943458258,1.0877273721869307,46150
15yr TBA Eligible,1.5769873417721518,M1,overall,all,0.9013773710639025,0.6542121111921539,1.1210721353924868,46150
15yr TBA Eligible,1.6509430379746837,M1,overall,all,0.9229557104342032,0.6660367354337948,1.1531238094717122,46150
15yr TBA Eligible,1.7248987341772155,M1,overall,all,0.9440792523723155,0.6798271474687367,1.181074938464488,46150
15yr TBA Eligible,1.7988544303797465,M1,overall,all,0.9648300742359553,0.6950390596249134,1.2067804836812135,46150
15yr TBA Eligible,1.8728101265822783,M1,overall,all,0.9853250636760996,0.7119966664671296,1.2301292397542962,46150
15yr TBA Eligible,1.9467658227848101,M1,overall,all,1.0057211244512854,0.7323569146408748,1.2491315262579183,46150
15yr TBA Eligible,2.020721518987342,M1,overall,all,1.0262212428148856,0.7567627748770567,1.2643494775631203,46150
15yr TBA Eligible,2.094677215189874,M1,overall,all,1.0470817203946725,0.7841885906322177,1.2778685088799147,46150
