Type_of_Security,model_name,spread_bin,mean_spread,actual_cpr_mean,predicted_cpr_mean,actual_cpr_std,actual_cpr_se,actual_cpr_ci95,n_obs
20yr TBA Eligible,M1,"(0.609, 0.836]",0.7400377322715206,0.8844889489561577,0.6498353873624626,0.73013459019799,0.014218306068473907,0.027867879894208858,2637
20yr TBA Eligible,M1,"(0.836, 1.053]",0.942891713747646,1.1326391469671808,0.7875372874803366,0.8907892108248167,0.017287917665845545,0.033884318625057266,2655
20yr TBA Eligible,M1,"(1.053, 1.227]",1.1520831755648113,1.1260991095263644,0.8628478784809036,0.7692369654918741,0.014968419476613022,0.029338102174161523,2641
20yr TBA Eligible,M1,"(1.227, 1.444]",1.3333360995850623,1.3377551598252486,1.096554157230016,0.8769868423318117,0.017032884979848516,0.03338445456050309,2651
20yr TBA Eligible,M1,"(1.444, 1.656]",1.5525074927590985,1.1950276492985574,0.9550411893011206,0.8060434552466865,0.015666842785992455,0.03070701186054521,2647
20yr TBA Eligible,M1,"(1.656, 1.946]",1.784129174543163,1.4046936802155827,1.1737590006139058,0.968157047861814,0.018824912799256813,0.036896829086543355,2645
20yr TBA Eligible,M1,"(1.946, 2.555]",2.1447765122753735,1.3026943146063281,1.0651157789381631,0.9061880975111063,0.017656737816137504,0.03460720611962951,2634
30yr TBA Eligible,M1,"(-4.382000000000001, -1.782]",-2.5528464946572846,0.21107263315316316,0.15011207812868682,0.15573378337643412,0.00177775511546227,0.0034844000263060493,7674
30yr TBA Eligible,M1,"(-1.782, -0.784]",-1.2731092607105536,0.34743413127110045,0.2203619674978184,0.24745219143905606,0.002828071217986023,0.005543019587252605,7656
30yr TBA Eligible,M1,"(-0.784, -0.11]",-0.4211935547130344,0.4120321790900953,0.3383245395904171,0.32048582911526413,0.003664430596528006,0.007182283969194891,7649
30yr TBA Eligible,M1,"(-0.11, 0.38]",0.1536292383933229,0.6323530336886393,0.4966548333851821,0.48704123270908006,0.00556191923121242,0.010901361693176343,7668
30yr TBA Eligible,M1,"(0.38, 0.753]",0.5631920109832635,0.9973593824278548,0.6927422390372335,0.7371580088939258,0.008429205632423439,0.01652124303954994,7648
30yr TBA Eligible,M1,"(0.753, 1.05]",0.8999016190103146,1.3421958391528892,0.897742789048724,0.9066139785541343,0.010359442307808372,0.02030450692330441,7659
30yr TBA Eligible,M1,"(1.05, 1.381]",1.2188513231651674,1.390825836293884,1.0757919796890603,0.9458563152118404,0.010799388788464925,0.021166802025391254,7671
30yr TBA Eligible,M1,"(1.381, 1.713]",1.5445021608171816,1.3461785176251395,1.1871732739353758,0.857999304711219,0.009818699666105305,0.019244651345566396,7636
30yr TBA Eligible,M1,"(1.713, 2.086]",1.8969043121417404,1.224354561034613,1.1306574348109883,0.7835645086542347,0.008943495102071125,0.017529250400059405,7676
30yr TBA Eligible,M1,"(2.086, 2.54]",2.2975990985105823,1.0781275637572052,0.9259592760451785,0.7152433669914976,0.008175411281667917,0.016023806112069116,7654
30yr TBA Eligible,M1,"(2.54, 3.143]",2.825081352833638,0.8256029947873093,0.649227911033245,0.5607343282064249,0.006407660060193423,0.01255901371797911,7658
30yr TBA Eligible,M1,"(3.143, 4.563]",3.650002617115938,0.6363636246113117,0.5217596332800832,0.377938250324873,0.004323319497316112,0.00847370621473958,7642
