period,Date,Type_of_Security,spread,SMM_monthly,Cumulative_SMM,actual_cpr_pct,reported_cpr_pct,log_UPB,log_UPB_z,coupon,duration,Cohort_Current_UPB,n_raw_rows
2020-12,20201231,15yr TBA Eligible,0.913122750753192,0.0007394483277582719,0.008813720940350744,0.8837381002586464,0.8817609005254445,29.67298359389651,0.9963125713486225,3.131122750753192,36.61107765062171,7705716669181.17,1033
2021-01,20210130,15yr TBA Eligible,0.8915142819755149,0.0007073856801027823,0.008837606120913553,0.8455679874219468,0.8438747933716456,29.65595981967202,0.9885652619390506,3.091514281975515,35.33536388899421,7575646571628.219,965
2021-02,20210227,15yr TBA Eligible,0.8268579853740206,0.000782874230120113,0.00925608845619928,0.9354145259589774,0.9333575596953041,29.626858926661804,0.9753218049199452,3.0643579853740204,34.93283280470862,7358365363574.66,956
2021-03,20210331,15yr TBA Eligible,0.6378034882258721,0.0008076727776048829,0.010986165468502437,0.964913490221686,0.9627274194629747,29.767925108655614,1.03951928220796,3.030303488225872,34.16184799487558,8473164000828.649,1111
2021-04,20210430,15yr TBA Eligible,0.6236932237294601,0.0006675694534103892,0.00874135633121234,0.7981485960724233,0.7965328068193686,29.71853413179769,1.017042058607986,2.9876932237294596,33.03636327056043,8064833090840.9,1044
2021-05,20210531,15yr TBA Eligible,0.6684206559744124,0.0005731006965615273,0.007657684053908115,0.6855572385413233,0.6843064320710043,29.79061388837621,1.0498446656571954,2.9484206559744126,31.749689563840523,8667607251186.17,1082
2021-06,20210630,15yr TBA Eligible,0.6493277732307767,0.0005648493563365941,0.007369045369616201,0.6757174257139509,0.6746252275708969,29.815953719349462,1.061376509791595,2.9193277732307763,31.17601091103189,8890049374263.55,1089
2021-07,20210731,15yr TBA Eligible,0.7171445195391417,0.0005722158249615699,0.007072803318382321,0.684502062325365,0.6834697243008295,29.793326358176426,1.051079077164848,2.8971445195391423,30.708758162772412,8691149788871.879,1056
2021-08,20210831,15yr TBA Eligible,0.7321845642729352,0.0006254780268719481,0.007735604939972804,0.7479969378751505,0.7469265611555062,29.84003775937748,1.0723368589755702,2.8771845642729352,30.337639756729438,9106756799566.0,1059
2021-09,20210930,15yr TBA Eligible,0.6768272873430985,0.0006805142153283655,0.007947937639949951,0.8135675236566775,0.8121794511943132,29.84409017788879,1.0741810645935603,2.860827287343098,30.240827975123242,9143736066525.121,1048
2021-10,20211030,15yr TBA Eligible,0.5294217784621837,0.000608341498715902,0.008196162263419765,0.7275722207466084,0.7264089192181112,29.859035208980394,1.0809823636753908,2.8369217784621834,29.660768145594698,9281415737213.63,1026
2021-11,20211130,15yr TBA Eligible,0.45864212941498916,0.0004653690667225354,0.006515603014806304,0.5570157437694623,0.5561243355934687,29.871530228036157,1.0866686925368385,2.8161421294149895,29.540303544224816,9398114763690.51,1024
2021-12,20211231,15yr TBA Eligible,0.45086335745105055,0.000429739196799436,0.005734508036019998,0.5144699203155856,0.5137879486567238,29.919218991149837,1.1083712596837845,2.79886335745105,29.28716881261591,9857157836849.63,1065
2022-01,20220131,15yr TBA Eligible,0.12167628752980697,0.00031647582623005414,0.0046946521785518995,0.3791106524586585,0.3787428896862411,29.88980735053819,1.0949863852689359,2.781676287529807,29.265808455497467,9571464600975.01,1010
2022-02,20220228,15yr TBA Eligible,-0.22053575189290298,0.0003098411767320818,0.0036902541311788347,0.3711764557559727,0.3707621083709115,29.806165092015203,1.0569218263792408,2.7769642481070966,29.748115847305264,8803452517589.64,961
2022-03,20220331,15yr TBA Eligible,-0.6196752105110357,0.00031415570073695906,0.003980620016830211,0.3763361434089507,0.3760389360069354,29.923580652498167,1.110356197897819,2.770324789488964,30.099652140439996,9900245319386.27,1110
2022-04,20220430,15yr TBA Eligible,-1.4474198594118826,0.0002723019833955369,0.0037406256377513127,0.32627344475604225,0.3260244062834812,29.877709317609995,1.089480719891449,2.7675801405881164,30.44589323762867,9456366342158.592,1058
2022-05,20220531,15yr TBA Eligible,-1.6770720673155401,0.0002278587281451344,0.003150373880403168,0.2730880645481659,0.27295402366837707,29.885605478947102,1.0930741654000522,2.7579279326844603,30.445889291894243,9531330913133.54,1069
2022-06,20220630,15yr TBA Eligible,-1.8936660588399175,0.0002418095031307624,0.00299586102152706,0.2897858005304732,0.2896474623407407,29.88514599542083,1.0928650601217704,2.758333941160082,30.851789356856628,9526952429593.07,1075
2022-07,20220730,15yr TBA Eligible,-1.8555616476075825,0.0002069141000643292,0.002954263256621436,0.24801454614231666,0.24791202583469404,29.867662604582232,1.0849085848672853,2.7569383523924165,31.538512675114564,9361836594978.162,1031
2022-08,20220831,15yr TBA Eligible,-1.7979775249192307,0.00019198534086693782,0.0025522976216713527,0.2301392994016771,0.23007769166879669,29.900581966827634,1.0998897800780396,2.76452247508077,32.13634341310272,9675151047115.92,1091
2022-09,20220930,15yr TBA Eligible,-2.579638215782598,0.0001772446804324224,0.002227554661200898,0.2124863955053624,0.21241825806494863,29.819493334310366,1.0629873448468097,2.7703617842174024,32.66460337170667,8921572482953.02,1025
2022-10,20221031,15yr TBA Eligible,-3.3652294445498976,0.0001444293042030657,0.0019818328225712106,0.1731775564653093,0.17314403817241697,29.84328333123984,1.0738138786480065,2.7797705554501038,33.302867725441715,9136361449213.66,1032
2022-11,20221130,15yr TBA Eligible,-3.3624037102647377,0.00012047992979238352,0.0015651072316164307,0.14448015248537116,0.14444904238584705,29.81766336802523,1.0621545497901388,2.7750962897352616,34.076427328415285,8905261235167.48,995
2022-12,20221231,15yr TBA Eligible,-2.8840151402646828,0.00012046630650639394,0.0015616372144341838,0.1444638261935527,0.14444904781929346,29.81002734400026,1.0586794895596496,2.7839848597353156,34.62040224625559,8837519414673.541,1018
2023-01,20230131,15yr TBA Eligible,-2.637447878273921,9.451526471693599e-05,0.0013252474155347345,0.11335937753861325,0.11335638976839704,29.799424297685437,1.053854174127142,2.7875521217260797,35.565215275990305,8744309813125.339,1018
