Type_of_Security,spread,pred_logit,pred_smm,pred_cpr_pct
15yr TBA Eligible,2.0404040404040407,-4.07751012388621,0.016667114417343226,18.265245579709067
15yr TBA Eligible,2.090909090909091,-4.061528565715873,0.01693107463517913,18.528142098817145
15yr TBA Eligible,2.141414141414141,-4.045693229628353,0.017196670656886903,18.79188527446911
15yr TBA Eligible,2.191919191919192,-4.030008057494944,0.017463782211489795,19.056343842124768
15yr TBA Eligible,2.242424242424242,-4.0144769911869425,0.01773228348154234,19.32138248356904
15yr TBA Eligible,2.2929292929292933,-3.999103972575639,0.018002043068468022,19.586861885723692
15yr TBA Eligible,2.3434343434343434,-3.98389294353233,0.018272923966655114,19.852638807160762
15yr TBA Eligible,2.3939393939393936,-3.9688478459283103,0.018544783546753832,20.118566152304673
15yr TBA Eligible,2.4444444444444446,-3.9539726216348714,0.018817473548613243,20.384493053287713
15yr TBA Eligible,2.494949494949495,-3.9392712125233116,0.01909084008429032,20.650264959395447
15yr TBA Eligible,2.545454545454545,-3.9247475604649216,0.019364723651557076,20.915723734022674
15yr TBA Eligible,2.595959595959596,-3.9104056073309974,0.01963895915832077,21.18070775902855
15yr TBA Eligible,2.646464646464646,-3.896249294992833,0.019913375958363202,21.44505204636481
15yr TBA Eligible,2.6969696969696972,-3.882282565321723,0.020187797898790927,21.708588356824045
15yr TBA Eligible,2.7474747474747474,-3.86850936018896,0.02046204337957488,21.97114532573431
15yr TBA Eligible,2.7979797979797976,-3.8549336214658396,0.020735925425540803,22.232548595406865
15yr TBA Eligible,2.8484848484848486,-3.8415592910236573,0.02100925177115467,22.49262095412502
15yr TBA Eligible,2.898989898989899,-3.8283903107337047,0.02128182495842678,22.751182481440814
15yr TBA Eligible,2.94949494949495,-3.8154306224672783,0.021553442448236367,23.008050699531967
15yr TBA Eligible,3.0,-3.8026841680956704,0.021823896745355818,23.263040730356966
20yr TBA Eligible,-2.0,-5.764973382836131,0.003125678322046283,3.6870000004028847
20yr TBA Eligible,-1.9494949494949494,-5.750558391131621,0.003170917355075355,3.739436134585261
20yr TBA Eligible,-1.898989898989899,-5.7357384339916715,0.0032181078027865143,3.794106247318907
20yr TBA Eligible,-1.8484848484848484,-5.7205186144206195,0.003267300193815684,3.8510653106759385
20yr TBA Eligible,-1.797979797979798,-5.704904035422803,0.003318547467820031,3.9103708114540114
20yr TBA Eligible,-1.7474747474747474,-5.68889980000256,0.003371905032746813,3.972082796637111
20yr TBA Eligible,-1.696969696969697,-5.672511011164227,0.003427430824980432,4.036263920684724
20yr TBA Eligible,-1.6464646464646464,-5.655742771912141,0.0034851853723541146,4.102979494533788
20yr TBA Eligible,-1.595959595959596,-5.638600185250641,0.0035452318600130523,4.172297536192426
20yr TBA Eligible,-1.5454545454545454,-5.621088354184062,0.0036076361991157235,4.244288822794551
20yr TBA Eligible,-1.4949494949494948,-5.603212381716744,0.003672467098359546,4.319026943981319
20yr TBA Eligible,-1.4444444444444444,-5.584977370853021,0.003739796138316029,4.396588356461839
20yr TBA Eligible,-1.393939393939394,-5.566388424597234,0.0038096978485588247,4.477052439599749
20yr TBA Eligible,-1.3434343434343434,-5.547450645953717,0.003882249787566285,4.5605015518590974
20yr TBA Eligible,-1.2929292929292928,-5.52816913792681,0.003957532625377105,4.64702108793329
20yr TBA Eligible,-1.2424242424242424,-5.508549003520848,0.004035630228974853,4.736699536366307
20yr TBA Eligible,-1.191919191919192,-5.488595345740171,0.004116629750373084,4.829628537463959
20yr TBA Eligible,-1.1414141414141414,-5.468313267589115,0.004200621717368624,4.9259029412764495
20yr TBA Eligible,-1.0909090909090908,-5.447707872072016,0.004287700126925483,5.025620865418179
20yr TBA Eligible,-1.0404040404040404,-5.4267842621932125,0.004377962541146354,5.128883752474412
20yr TBA Eligible,-0.9898989898989898,-5.405547540957043,0.004471510185782362,5.235796426727268
20yr TBA Eligible,-0.9393939393939394,-5.384002811367845,0.00456844805122478,5.346467149910749
20yr TBA Eligible,-0.8888888888888888,-5.362155176429953,0.004668884995914773,5.4610076756901105
20yr TBA Eligible,-0.8383838383838385,-5.340009739147706,0.004772933852098822,5.5795333025334015
20yr TBA Eligible,-0.7878787878787878,-5.317571602525442,0.0048807115338483885,5.70216292462492
20yr TBA Eligible,-0.7373737373737375,-5.294845869567498,0.004992339147252366,5.829019080445452
20yr TBA Eligible,-0.6868686868686869,-5.27183764327821,0.0051079421026800735,5.960227998617329
20yr TBA Eligible,-0.6363636363636365,-5.248552026661917,0.00522765022900099,6.095919640590375
20yr TBA Eligible,-0.5858585858585859,-5.224994122722956,0.005351597889634882,6.236227739714018
20yr TBA Eligible,-0.5353535353535355,-5.201169034465664,0.005479924100292498,6.381289836214821
20yr TBA Eligible,-0.48484848484848486,-5.177081864894379,0.005612772648252774,6.531247307570309
20yr TBA Eligible,-0.4343434343434345,-5.152737717013437,0.005750292213006972,6.686245393737478
20yr TBA Eligible,-0.38383838383838387,-5.128141693827177,0.005892636488084034,6.846433216666159
20yr TBA Eligible,-0.33333333333333326,-5.1032988983399346,0.006039964303853916,7.0119637934939805
20yr TBA Eligible,-0.2828282828282829,-5.078214433556049,0.0061924397510872715,7.182994042789148
20yr TBA Eligible,-0.23232323232323226,-5.052893402479856,0.006350232305030528,7.359684783172016
