Type_of_Security,spread,actual_cpr_pct,pred_cpr_pct,actual_cpr_std,pred_cpr_std,actual_cpr_se,pred_cpr_se,actual_cpr_ci95,pred_cpr_ci95,n_obs
20yr TBA Eligible,0.6697366987956364,0.7063989649882196,0.6522812017402096,0.11019916045143607,0.025750500455607152,0.05509958022571804,0.012875250227803576,0.10799517724240736,0.025235490446495007,4
20yr TBA Eligible,0.7603215773499039,0.8277388598910362,0.8184202320075579,0.18344344593739445,0.09163519390641972,0.09172172296869723,0.04581759695320986,0.17977457701864655,0.08980249002829133,4
20yr TBA Eligible,0.8167067468801278,0.8772818010978345,0.8796427231135245,0.31302453022620713,0.06387016926188419,0.15651226511310357,0.03193508463094209,0.30676403962168297,0.0625927658766465,4
20yr TBA Eligible,0.9109587692733637,1.0252278177002112,0.94087002472385,0.2645841383306927,0.10527107523343471,0.13229206916534636,0.052635537616717354,0.25929245556407887,0.10316565372876602,4
20yr TBA Eligible,1.1185321102566228,1.3049782624326989,1.3076757331834776,0.12523748958045064,0.11569081686991703,0.06261874479022532,0.057845408434958515,0.12273273978884162,0.11337700053251869,4
20yr TBA Eligible,1.1800442455609137,1.4709343516591522,1.4667271097342716,0.18068302431387911,0.046905881591627896,0.0808039049492162,0.0209769479566872,0.15837565370046375,0.04111481799510691,5
30yr TBA Eligible,-3.021744644895553,0.16414026608041254,0.1729047471527001,0.05978040729096302,0.04999635345475211,0.02673461088504347,0.022359048990386435,0.0523998373346852,0.04382373602115741,5
30yr TBA Eligible,-2.3457891526107657,0.2271009022433601,0.2080545251633037,0.09231940714667351,0.03135449047198881,0.046159703573336756,0.015677245235994404,0.09047301900374004,0.03072740066254903,4
30yr TBA Eligible,-1.5011454112601768,0.3549216180192799,0.28187219077228653,0.100927469312858,0.05115754098868473,0.050463734656429,0.025578770494342366,0.09890891992660084,0.05013439016891104,4
30yr TBA Eligible,-0.1543598429925096,0.3818382509358287,0.46306967658023557,0.11931064223064165,0.07469290057141395,0.05965532111532083,0.037346450285706975,0.11692442938602882,0.07319904255998567,4
30yr TBA Eligible,0.21024612974628776,0.5465193732078683,0.5695109640077245,0.14941401344713787,0.1452010357349437,0.07470700672356893,0.07260051786747185,0.1464257331781951,0.14229701502024483,4
30yr TBA Eligible,0.4893952904277514,0.7710588783101779,0.7793778944229546,0.10740865426485824,0.0530798043771426,0.04803461046159914,0.023738010163936347,0.09414783650473431,0.04652649992131524,5
30yr TBA Eligible,0.5921381109272269,1.037425932480232,0.958950011074991,0.1335906146601668,0.10867528156953138,0.0667953073300834,0.05433764078476569,0.13091880236696346,0.10650177593814075,4
30yr TBA Eligible,0.6341608659255932,1.0867407974941208,0.9184247392739958,0.33670523658870666,0.1217645565440413,0.16835261829435333,0.06088227827202065,0.3299711318569325,0.11932926541316047,4
30yr TBA Eligible,0.695877974806654,0.9361170944382796,1.0245582181501345,0.08585126073259874,0.13446341893817532,0.04292563036629937,0.06723170946908766,0.08413423551794677,0.1317741505594118,4
