Type_of_Security,spread,curve_family,slice_name,n_obs,pred_logit,pred_smm,pred_cpr_pct
15yr TBA Eligible,0.7777777777777777,duration_slice,median_duration,17,-7.209890001056855,0.0007430125837461645,0.8879268559004379
15yr TBA Eligible,0.8282828282828283,duration_slice,median_duration,17,-7.153954120328222,0.000785723919285338,0.9387448556832679
15yr TBA Eligible,0.8787878787878789,duration_slice,median_duration,17,-7.096290997410598,0.0008323235738376949,0.9941615345578841
15yr TBA Eligible,0.9292929292929291,duration_slice,median_duration,17,-7.036867535951581,0.0008832365200515033,1.0546746495470904
15yr TBA Eligible,0.9797979797979797,duration_slice,median_duration,17,-6.975650639598761,0.0009389416503735764,1.120844151004672
15yr TBA Eligible,1.0303030303030303,duration_slice,median_duration,17,-6.912607211999736,0.0009999794819857133,1.1933008564555878
15yr TBA Eligible,1.0808080808080809,duration_slice,median_duration,17,-6.847704156802102,0.0010669610750862898,1.272756438137654
15yr TBA Eligible,1.131313131313131,duration_slice,median_duration,17,-6.780908377653454,0.0011405783722089414,1.3600149352639423
15yr TBA Eligible,1.1818181818181817,duration_slice,median_duration,17,-6.712186778201385,0.0012216162044395697,1.4559860368529174
15yr TBA Eligible,1.2323232323232323,duration_slice,median_duration,17,-6.641506262093492,0.0013109662560106742,1.561700421396165
15yr TBA Eligible,1.2828282828282829,duration_slice,median_duration,17,-6.568833732977371,0.001409643333343831,1.6783274864030024
15yr TBA Eligible,1.3333333333333335,duration_slice,median_duration,17,-6.4941360945006155,0.0015188043500258238,1.80719585476489
15yr TBA Eligible,1.3838383838383836,duration_slice,median_duration,17,-6.417380250310822,0.0016397705176821498,1.94981710668121
15yr TBA Eligible,1.4343434343434343,duration_slice,median_duration,17,-6.3385331040555855,0.0017740533269709473,2.107913256264888
15yr TBA Eligible,1.4848484848484849,duration_slice,median_duration,17,-6.257561559382502,0.0019233850162542047,2.283448571375208
15yr TBA Eligible,1.5353535353535355,duration_slice,median_duration,17,-6.174432519939167,0.002089754361903039,2.4786664238168474
15yr TBA Eligible,1.5858585858585856,duration_slice,median_duration,17,-6.0891128893731725,0.0022754487884917053,2.6961319542658138
15yr TBA Eligible,1.6363636363636362,duration_slice,median_duration,17,-6.0015695713321175,0.0024831039951734466,2.9387814405895614
15yr TBA Eligible,1.6868686868686869,duration_slice,median_duration,17,-5.911769469463595,0.0027157625333598624,3.209979366485795
15yr TBA Eligible,1.7373737373737375,duration_slice,median_duration,17,-5.819679487415201,0.0029769430589280375,3.513584294033301
15yr TBA Eligible,1.7878787878787876,duration_slice,median_duration,17,-5.725266528834532,0.003270722329726806,3.854024739712392
15yr TBA Eligible,1.8383838383838382,duration_slice,median_duration,17,-5.628497497369182,0.0036018324382777753,4.236386324350524
15yr TBA Eligible,1.8888888888888888,duration_slice,median_duration,17,-5.529339296666746,0.003975776274642796,4.666511491338051
15yr TBA Eligible,1.9393939393939394,duration_slice,median_duration,17,-5.42775883037482,0.0043989648223352945,5.151113031558997
15yr TBA Eligible,1.9898989898989896,duration_slice,median_duration,17,-5.323723002140999,0.004878880620461554,5.697902469723974
15yr TBA Eligible,2.0404040404040407,duration_slice,median_duration,17,-5.217198715612877,0.005424272600303515,6.315733985796171
15yr TBA Eligible,2.090909090909091,duration_slice,median_duration,17,-5.108152874438054,0.006045388549119605,7.014763868308193
15yr TBA Eligible,2.141414141414141,duration_slice,median_duration,17,-4.99655238226412,0.006754252694663578,7.806624385385375
